method,threshold,image_threshold,text_threshold,tp,fp,tn,fn,precision,recall,f1,positive_labels
naive_union,,0.0,0.79,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.0,0.8,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.0,0.81,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.0,0.82,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.0,0.83,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.0,0.84,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.0,0.85,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.0,0.86,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.0,0.87,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.0,0.88,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.0,0.89,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.0,0.9,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.0,0.91,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.0,0.92,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.0,0.93,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.0,0.94,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.0,0.95,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.0,0.96,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.0,0.97,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.0,0.98,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.0,0.99,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.0,1.0,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.0,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.01,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.02,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.03,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.04,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.05,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.06,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.07,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.08,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.09,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.1,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.11,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.12,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.13,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.14,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.15,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
naive_union,,0.01,0.16,295,705,0,0,0.295,1.0,0.4555984555984556,duplicate|near-duplicate
